,count,unique,top,freq,mean,std,min,25%,50%,75%,max
customerID,7043,7043,7590-VHVEG,1,,,,,,,
gender,7043,2,Male,3555,,,,,,,
SeniorCitizen,7043.0,,,,0.1621468124378816,0.3686116056100131,0.0,0.0,0.0,0.0,1.0
Partner,7043,2,No,3641,,,,,,,
Dependents,7043,2,No,4933,,,,,,,
tenure,7043.0,,,,32.37114865824223,24.55948102309446,0.0,9.0,29.0,55.0,72.0
PhoneService,7043,2,Yes,6361,,,,,,,
MultipleLines,7043,3,No,3390,,,,,,,
InternetService,7043,3,Fiber optic,3096,,,,,,,
OnlineSecurity,7043,3,No,3498,,,,,,,
OnlineBackup,7043,3,No,3088,,,,,,,
DeviceProtection,7043,3,No,3095,,,,,,,
TechSupport,7043,3,No,3473,,,,,,,
StreamingTV,7043,3,No,2810,,,,,,,
StreamingMovies,7043,3,No,2785,,,,,,,
Contract,7043,3,Month-to-month,3875,,,,,,,
PaperlessBilling,7043,2,Yes,4171,,,,,,,
PaymentMethod,7043,4,Electronic check,2365,,,,,,,
MonthlyCharges,7043.0,,,,64.76169246059918,30.090047097678493,18.25,35.5,70.35,89.85,118.75
TotalCharges,7032.0,,,,2283.3004408418656,2266.771361883145,18.8,401.45,1397.475,3794.7375,8684.8
Churn,7043,2,No,5174,,,,,,,
__churn_bin__,7043.0,,,,0.2653698707936959,0.441561305121947,0.0,0.0,0.0,1.0,1.0
